request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. The 90-day forecast stays at or above IDR 24768300.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. The 90-day forecast stays at or above ZAR 20500.
request_28,390.86,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"Wait until 2024-07-15, then pay EUR 1302.40 in full. Paying earlier would put the EUR 1100 minimum at risk."
request_29,32600.95,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 28300 minimum protected.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,4038001.37,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,"Wait until 2024-09-15, then pay IDR 18164000 in full. Paying earlier would put the IDR 16588900 minimum at risk."
request_32,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 35700 minimum protected.
request_33,41950.47,affordable_later,wait,2026-02-15:118000,2026-02-15,none,"Wait until 2026-02-15, then pay INR 118000 in full. Paying earlier would put the INR 102100 minimum at risk."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. The 90-day forecast stays at or above INR 138500.
request_35,51643.17,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, then pay INR 212000 in full. Paying earlier would put the INR 106400 minimum at risk."
request_36,905.16,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 2026-09-15, then pay USD 3954 in full. Paying earlier would put the USD 2400 minimum at risk."
request_37,6763768.84,affordable_later,wait,2024-04-15:14649000,2024-04-15,none,"Wait until 2024-04-15, then pay IDR 14649000 in full. Paying earlier would put the IDR 17056200 minimum at risk."
request_38,202.63,affordable_later,wait,2025-09-15:971.30,2025-09-15,none,"Wait until 2025-09-15, then pay EUR 971.30 in full. Paying earlier would put the EUR 400 minimum at risk."
request_39,71777.50,affordable_later,wait,2026-04-15:208600,2026-04-15,none,"Wait until 2026-04-15, then pay INR 208600 in full. Paying earlier would put the INR 213400 minimum at risk."
request_40,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the EUR 1500 minimum protected.
request_41,12188581.85,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,"Wait until 2025-11-15, then pay IDR 38760000 in full. Paying earlier would put the IDR 25366600 minimum at risk."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. The 90-day forecast stays at or above INR 113100.
request_43,9802940.49,affordable_later,wait,2024-10-15:43339000,2024-10-15,none,"Wait until 2024-10-15, then pay IDR 43339000 in full. Paying earlier would put the IDR 21398000 minimum at risk."
request_44,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the INR 82900 minimum protected.
request_45,4610561.80,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 2026-09-15, then pay IDR 21983000 in full. Paying earlier would put the IDR 11149800 minimum at risk."
request_46,48141.03,affordable_with_plan,partial_payment,2024-12-03:48141.03|2024-12-15:1308.97,2024-12-15,none,Pay INR 48141.03 today and the remaining INR 1308.97 on 2024-12-15. This completes the request and keeps the INR 84000 minimum protected.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. The 90-day forecast stays at or above IDR 30049000.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. The 90-day forecast stays at or above INR 71300.
request_49,14988006.15,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11902106.67, starting 2024-03-18. This leaves at least IDR 20275700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. The 90-day forecast stays at or above INR 99700.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. The 90-day forecast stays at or above IDR 7811000.
request_52,21517.31,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15, then pay INR 28870 in full. Paying earlier would put the INR 41500 minimum at risk."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2100 available."
request_54,6319.09,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the ZAR 37000 minimum protected.
request_55,133037.14,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124300 available."
request_56,659.71,affordable_with_plan,partial_payment,2025-02-03:659.71|2025-02-15:221.85,2025-02-15,none,Pay USD 659.71 today and the remaining USD 221.85 on 2025-02-15. This completes the request and keeps the USD 2100 minimum protected.
request_57,14724.02,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Wait until 2026-05-15, then pay ZAR 61446 in full. Paying earlier would put the ZAR 42700 minimum at risk."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. The 90-day forecast stays at or above IDR 14433900.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132600 available."
request_60,0,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast window. None of the eligible options keeps the USD 400 minimum protected.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36700 available."
